epoch,step,train_loss
0,49,112.01750946044922
1,99,55.11955642700195
2,149,38.647064208984375
3,199,27.786283493041992
4,249,33.019439697265625
5,299,30.629037857055664
6,349,31.685562133789062
7,399,31.145679473876953
8,449,25.320695877075195
9,499,25.241907119750977
10,549,26.809415817260742
11,599,25.87301254272461
12,649,24.01297378540039
13,699,27.093549728393555
14,749,23.040721893310547
15,799,25.05697250366211
16,849,22.78543472290039
17,899,26.536996841430664
18,949,28.519874572753906
19,999,23.913219451904297
20,1049,25.12566375732422
21,1099,25.658859252929688
22,1149,25.217487335205078
23,1199,26.169944763183594
24,1249,24.632829666137695
25,1299,22.591554641723633
26,1349,24.113941192626953
27,1399,25.316452026367188
28,1449,26.264934539794922
29,1499,24.301128387451172
30,1549,23.55168914794922
31,1599,23.945558547973633
32,1649,25.796815872192383
33,1699,23.270139694213867
34,1749,21.74563980102539
35,1799,26.791584014892578
36,1849,23.063875198364258
37,1899,22.648393630981445
38,1949,24.849138259887695
39,1999,25.652070999145508
40,2049,23.90445327758789
41,2099,23.508520126342773
42,2149,23.92040252685547
43,2199,24.54051971435547
44,2249,22.643564224243164
45,2299,25.26968002319336
46,2349,22.14606475830078
47,2399,23.098220825195312
48,2449,24.530126571655273
49,2499,20.155885696411133
