epoch,step,train_loss
0,49,6.032625675201416
1,99,4.8975348472595215
2,149,4.832216739654541
3,199,4.779515266418457
4,249,4.68025016784668
5,299,4.620644569396973
6,349,4.533563137054443
7,399,4.451880931854248
8,449,4.495236873626709
9,499,4.407331943511963
10,549,4.406754970550537
11,599,4.364082336425781
12,649,4.344386577606201
13,699,4.259950160980225
14,749,4.215272903442383
15,799,4.170688629150391
16,849,4.1643452644348145
17,899,4.061894416809082
18,949,4.004821300506592
19,999,4.023346424102783
20,1049,3.9636712074279785
21,1099,3.9283995628356934
22,1149,3.9110805988311768
23,1199,3.8480958938598633
24,1249,3.852907180786133
25,1299,3.824477434158325
26,1349,3.8366189002990723
27,1399,3.793536424636841
28,1449,3.7838399410247803
29,1499,3.8083295822143555
30,1549,3.7853264808654785
31,1599,3.7901687622070312
32,1649,3.7501437664031982
33,1699,3.780179977416992
34,1749,3.7531683444976807
35,1799,3.75968599319458
36,1849,3.74497127532959
37,1899,3.7299344539642334
38,1949,3.732914686203003
39,1999,3.7070870399475098
40,2049,3.710735559463501
41,2099,3.7047088146209717
42,2149,3.695310354232788
43,2199,3.685650587081909
44,2249,3.6856534481048584
45,2299,3.651012659072876
46,2349,3.6550912857055664
47,2399,3.6509673595428467
48,2449,3.6455390453338623
49,2499,3.651326894760132
