epoch,step,train_loss
0,49,5.8937835693359375
1,99,4.976138591766357
2,149,4.798298358917236
3,199,4.657407760620117
4,249,4.586560249328613
5,299,4.597693920135498
6,349,4.574541091918945
7,399,4.416431903839111
8,449,4.413599967956543
9,499,4.472024917602539
10,549,4.440515518188477
11,599,4.363938808441162
12,649,4.306612968444824
13,699,4.383227348327637
14,749,4.308121204376221
15,799,4.273044586181641
16,849,4.278437614440918
17,899,4.233591556549072
18,949,4.249268054962158
19,999,4.134393215179443
