epoch,step,train_loss
0,49,6.195489883422852
1,99,4.86715841293335
2,149,4.662322044372559
3,199,4.678691387176514
4,249,4.67333984375
5,299,4.621054172515869
6,349,4.606265068054199
7,399,4.505422115325928
8,449,4.509566783905029
9,499,4.454017639160156
10,549,4.398749828338623
11,599,4.372313499450684
12,649,4.369891166687012
13,699,4.322505950927734
14,749,4.246265411376953
15,799,4.243384838104248
16,849,4.223262310028076
17,899,4.159555912017822
18,949,4.1102705001831055
19,999,4.119883060455322
20,1049,4.023660659790039
21,1099,3.988222122192383
22,1149,3.9489963054656982
23,1199,3.8890199661254883
24,1249,3.9179515838623047
25,1299,3.893254041671753
26,1349,3.8359375
27,1399,3.8369998931884766
28,1449,3.849914789199829
29,1499,3.84566593170166
30,1549,3.785738468170166
31,1599,3.722283363342285
32,1649,3.6820032596588135
33,1699,3.760024309158325
34,1749,3.713412284851074
35,1799,3.718987464904785
36,1849,3.6647326946258545
37,1899,3.630384922027588
38,1949,3.5907387733459473
39,1999,3.635267734527588
40,2049,3.5999133586883545
41,2099,3.595961570739746
42,2149,3.5505263805389404
43,2199,3.562568426132202
44,2249,3.5803754329681396
45,2299,3.4970903396606445
46,2349,3.474658727645874
47,2399,3.454324245452881
48,2449,3.423208236694336
49,2499,3.4753777980804443
