epoch,step,train_loss
0,49,6.049191474914551
1,99,5.682861804962158
2,149,5.568545341491699
3,199,5.443477630615234
4,249,5.423449516296387
5,299,5.3259735107421875
6,349,5.3361945152282715
7,399,5.293527126312256
8,449,5.242181301116943
9,499,5.182039260864258
10,549,5.21916389465332
11,599,5.201368808746338
12,649,5.186485767364502
13,699,5.12434196472168
14,749,5.174867153167725
15,799,5.110110282897949
16,849,5.058945178985596
17,899,5.084747314453125
18,949,5.056408405303955
19,999,5.0351152420043945
20,1049,5.044322967529297
21,1099,5.00428581237793
22,1149,4.955134391784668
23,1199,4.929169178009033
24,1249,4.970212459564209
25,1299,4.911256313323975
26,1349,4.944872856140137
27,1399,4.945074081420898
28,1449,4.949267387390137
29,1499,4.94163703918457
30,1549,4.921679973602295
31,1599,4.863926887512207
32,1649,4.911025524139404
33,1699,4.858614921569824
34,1749,4.882684230804443
35,1799,4.848921298980713
36,1849,4.888034820556641
37,1899,4.847772598266602
38,1949,4.856255054473877
39,1999,4.870809078216553
40,2049,4.806204319000244
41,2099,4.857915878295898
42,2149,4.817553520202637
43,2199,4.812026500701904
44,2249,4.787595748901367
45,2299,4.794511795043945
46,2349,4.811880588531494
47,2399,4.781940937042236
48,2449,4.814457893371582
49,2499,4.814077377319336
