epoch,step,train_loss
0,49,5.456821918487549
1,99,4.746483325958252
2,149,4.5164594650268555
3,199,4.478602886199951
4,249,4.4402241706848145
5,299,4.364947319030762
6,349,4.336222171783447
7,399,4.360523223876953
8,449,4.258196830749512
9,499,4.283371925354004
10,549,4.2501420974731445
11,599,4.185713291168213
12,649,4.091043949127197
13,699,3.993149995803833
14,749,3.9986400604248047
15,799,3.982837438583374
16,849,3.987060546875
17,899,4.028676986694336
18,949,3.965287685394287
19,999,3.8818938732147217
