epoch,step,train_loss
0,49,115.88877868652344
1,99,61.73554229736328
2,149,48.86936569213867
3,199,48.80445861816406
4,249,47.530120849609375
5,299,46.53386306762695
6,349,41.979286193847656
7,399,44.67551803588867
8,449,44.86012649536133
9,499,38.751136779785156
10,549,44.34965896606445
11,599,46.01225662231445
12,649,43.5850715637207
13,699,42.406532287597656
14,749,41.1721076965332
15,799,42.2935905456543
16,849,42.30760192871094
17,899,41.57768630981445
18,949,41.942955017089844
19,999,41.030941009521484
20,1049,40.8490104675293
21,1099,41.66172409057617
22,1149,40.15862274169922
23,1199,40.8745002746582
24,1249,40.277793884277344
25,1299,38.477359771728516
26,1349,40.537254333496094
27,1399,37.114349365234375
28,1449,41.67646789550781
29,1499,40.65494918823242
30,1549,37.307044982910156
31,1599,40.24309158325195
32,1649,37.6346321105957
33,1699,37.6905403137207
34,1749,41.225563049316406
35,1799,39.966278076171875
36,1849,36.79527282714844
37,1899,40.863914489746094
38,1949,37.18913650512695
39,1999,35.789615631103516
40,2049,39.0180778503418
41,2099,38.349308013916016
42,2149,37.99140930175781
43,2199,36.72013854980469
44,2249,40.374916076660156
45,2299,35.04396438598633
46,2349,39.43864822387695
47,2399,37.31892395019531
48,2449,38.623619079589844
49,2499,38.19640350341797
