epoch,step,train_loss
0,49,6.217154502868652
1,99,5.768972873687744
2,149,5.591451644897461
3,199,5.523374080657959
4,249,5.505969047546387
5,299,5.468586444854736
6,349,5.416746139526367
7,399,5.452852249145508
8,449,5.396456718444824
9,499,5.379725933074951
10,549,5.364869594573975
11,599,5.350886344909668
12,649,5.298529624938965
13,699,5.319699764251709
14,749,5.2740631103515625
15,799,5.2951788902282715
16,849,5.296186923980713
17,899,5.2110466957092285
18,949,5.255229949951172
19,999,5.214549541473389
20,1049,5.211707592010498
21,1099,5.237326145172119
22,1149,5.1243767738342285
23,1199,5.159925937652588
24,1249,5.218341827392578
25,1299,5.141453266143799
26,1349,5.221408843994141
27,1399,5.1458563804626465
28,1449,5.1755170822143555
29,1499,5.123775005340576
30,1549,5.158270835876465
31,1599,5.11586332321167
32,1649,5.180171489715576
33,1699,5.170736312866211
34,1749,5.178140163421631
35,1799,5.110346794128418
36,1849,5.156082630157471
37,1899,5.108978748321533
38,1949,5.147536754608154
39,1999,5.088090896606445
40,2049,5.120949745178223
41,2099,5.17034912109375
42,2149,5.076685905456543
43,2199,5.088794708251953
44,2249,5.104962348937988
45,2299,5.0766282081604
46,2349,5.079472541809082
47,2399,5.076427936553955
48,2449,5.100348472595215
49,2499,5.099503040313721
