epoch,step,train_loss
0,49,6.109452724456787
1,99,5.642950057983398
2,149,5.618913650512695
3,199,5.528779983520508
4,249,5.493772506713867
5,299,5.431978702545166
6,349,5.377179145812988
7,399,5.347670078277588
8,449,5.396346569061279
9,499,5.305990695953369
10,549,5.296820163726807
11,599,5.337457656860352
12,649,5.307992458343506
13,699,5.258603096008301
14,749,5.300153732299805
15,799,5.259679794311523
16,849,5.278375625610352
17,899,5.201527118682861
18,949,5.2208781242370605
19,999,5.203359603881836
20,1049,5.147713661193848
21,1099,5.188679218292236
22,1149,5.1613593101501465
23,1199,5.119880676269531
24,1249,5.1578521728515625
25,1299,5.132857799530029
26,1349,5.143783092498779
27,1399,5.171090126037598
28,1449,5.166133880615234
29,1499,5.092089653015137
30,1549,5.1002678871154785
31,1599,5.054678440093994
32,1649,5.1225385665893555
33,1699,5.0371012687683105
34,1749,5.099050521850586
35,1799,5.048895359039307
36,1849,5.055562973022461
37,1899,5.038491249084473
38,1949,5.0530781745910645
39,1999,5.054573059082031
40,2049,5.06977653503418
41,2099,5.042845249176025
42,2149,5.017374038696289
43,2199,5.006645679473877
44,2249,5.010281562805176
45,2299,5.03687858581543
46,2349,5.0389604568481445
47,2399,4.9614577293396
48,2449,4.969943046569824
49,2499,4.999383449554443
