epoch,step,train_loss
0,49,6.151190280914307
1,99,5.705774307250977
2,149,5.6037092208862305
3,199,5.533253192901611
4,249,5.50250244140625
5,299,5.421833038330078
6,349,5.432615756988525
7,399,5.375598907470703
8,449,5.362895965576172
9,499,5.386984348297119
10,549,5.318476676940918
11,599,5.262590408325195
12,649,5.339985370635986
13,699,5.271374702453613
14,749,5.262133598327637
15,799,5.278008460998535
16,849,5.241791248321533
17,899,5.213723182678223
18,949,5.2483696937561035
19,999,5.174426078796387
20,1049,5.209700107574463
21,1099,5.185972690582275
22,1149,5.192713737487793
23,1199,5.1912336349487305
24,1249,5.15159797668457
25,1299,5.198972225189209
26,1349,5.143263339996338
27,1399,5.170346260070801
28,1449,5.154743671417236
29,1499,5.195879936218262
30,1549,5.1441850662231445
31,1599,5.090328216552734
32,1649,5.120697498321533
33,1699,5.113949775695801
34,1749,5.131655693054199
35,1799,5.11166524887085
36,1849,5.100931644439697
37,1899,5.0991597175598145
38,1949,5.096153259277344
39,1999,5.078089237213135
40,2049,5.070684432983398
41,2099,5.054112911224365
42,2149,5.0924458503723145
43,2199,5.056549072265625
44,2249,5.025143623352051
45,2299,5.03848123550415
46,2349,5.032803058624268
47,2399,5.051881790161133
48,2449,5.071098804473877
49,2499,5.017531871795654
