epoch,step,train_loss
0,49,110.10721588134766
1,99,50.49248504638672
2,149,37.302345275878906
3,199,35.64185333251953
4,249,30.582805633544922
5,299,28.765296936035156
6,349,24.735044479370117
7,399,28.72466278076172
8,449,24.6438045501709
9,499,25.45825958251953
10,549,24.9647274017334
11,599,29.38184356689453
12,649,27.243003845214844
13,699,25.094560623168945
14,749,23.277135848999023
15,799,24.426109313964844
16,849,27.752904891967773
17,899,26.209497451782227
18,949,24.603708267211914
19,999,24.98542022705078
20,1049,24.568265914916992
21,1099,22.99416732788086
22,1149,24.315597534179688
23,1199,23.732439041137695
24,1249,24.383432388305664
25,1299,20.531972885131836
26,1349,25.204235076904297
27,1399,23.851354598999023
28,1449,24.697067260742188
29,1499,21.4354305267334
30,1549,23.864595413208008
31,1599,23.63935089111328
32,1649,23.10818862915039
33,1699,21.830251693725586
34,1749,23.335546493530273
35,1799,22.466474533081055
36,1849,23.197830200195312
37,1899,22.947105407714844
38,1949,22.297555923461914
39,1999,24.799182891845703
40,2049,22.870868682861328
41,2099,22.61206817626953
42,2149,22.618267059326172
43,2199,19.935028076171875
44,2249,22.848302841186523
45,2299,21.5374755859375
46,2349,22.474809646606445
47,2399,26.136873245239258
48,2449,18.5682430267334
49,2499,20.9460506439209
