epoch,step,train_loss
0,49,5.802323818206787
1,99,4.92045783996582
2,149,4.67191743850708
3,199,4.579098224639893
4,249,4.4445343017578125
5,299,4.5264739990234375
6,349,4.429481029510498
7,399,4.470242977142334
8,449,4.396022796630859
9,499,4.446687698364258
10,549,4.334640026092529
11,599,4.350915431976318
12,649,4.312381267547607
13,699,4.366370677947998
14,749,4.346139430999756
15,799,4.341435432434082
16,849,4.305792808532715
17,899,4.284164905548096
18,949,4.31398868560791
19,999,4.293430328369141
