epoch,step,train_loss
0,49,6.728533744812012
1,99,6.027145862579346
2,149,5.87039852142334
3,199,5.742259979248047
4,249,5.647070407867432
5,299,5.540609836578369
6,349,5.510618209838867
7,399,5.4750657081604
8,449,5.417560577392578
9,499,5.381437301635742
10,549,5.344796657562256
11,599,5.288217544555664
12,649,5.279783725738525
13,699,5.240655422210693
14,749,5.220737457275391
15,799,5.214561939239502
16,849,5.19008731842041
17,899,5.226534366607666
18,949,5.164653301239014
19,999,5.132020473480225
20,1049,5.089406967163086
21,1099,5.099221706390381
22,1149,5.060562610626221
23,1199,5.058197021484375
24,1249,5.099136829376221
25,1299,5.061440944671631
26,1349,5.0455322265625
27,1399,5.022213935852051
28,1449,5.0219573974609375
29,1499,5.023711681365967
30,1549,5.060445785522461
31,1599,4.984953880310059
32,1649,5.033463478088379
33,1699,4.992509365081787
34,1749,4.988926410675049
35,1799,4.966020107269287
36,1849,4.948970794677734
37,1899,4.94223165512085
38,1949,4.941345691680908
39,1999,4.946645259857178
40,2049,4.976315498352051
41,2099,4.905152797698975
42,2149,4.91398811340332
43,2199,5.001028537750244
44,2249,4.962952136993408
45,2299,4.8954997062683105
46,2349,4.942749500274658
47,2399,4.895500659942627
48,2449,4.916590690612793
49,2499,4.900397777557373
