epoch,step,train_loss
0,49,6.213744640350342
1,99,5.2677459716796875
2,149,5.096882343292236
3,199,4.956109523773193
4,249,4.818758010864258
5,299,4.716423511505127
6,349,4.587117671966553
7,399,4.444238662719727
8,449,4.323818206787109
9,499,4.193981170654297
10,549,4.1312947273254395
11,599,4.027163982391357
12,649,4.033909797668457
13,699,3.9391415119171143
14,749,3.9423916339874268
15,799,3.911355972290039
16,849,3.8873910903930664
17,899,3.865823745727539
18,949,3.8313169479370117
19,999,3.831585645675659
20,1049,3.7919845581054688
21,1099,3.7899961471557617
22,1149,3.8202507495880127
23,1199,3.774350166320801
24,1249,3.742685317993164
25,1299,3.7330751419067383
26,1349,3.7480878829956055
27,1399,3.6815297603607178
28,1449,3.717841148376465
29,1499,3.700925350189209
30,1549,3.676352024078369
31,1599,3.640005588531494
32,1649,3.64131498336792
33,1699,3.6341772079467773
34,1749,3.6562771797180176
35,1799,3.615753412246704
36,1849,3.6028897762298584
37,1899,3.562464714050293
38,1949,3.546912431716919
39,1999,3.5879716873168945
40,2049,3.5292913913726807
41,2099,3.5208187103271484
42,2149,3.5247628688812256
43,2199,3.51747989654541
44,2249,3.4796478748321533
45,2299,3.4732542037963867
46,2349,3.4589476585388184
47,2399,3.420804738998413
48,2449,3.422520160675049
49,2499,3.4232559204101562
