ventana,hidden_size,num_layers,dropout,nonlinearity,dense_size,batch_size,lr,optimizador,horizonte,val_mse,best_epoch_search
60,64,1,0.5,tanh,128,16,0.0001,adam,1,7.201700096225573e-05,273
60,32,1,0.2,relu,64,16,0.0005,rmsprop,1,7.375436317589548e-05,59
90,64,1,0.2,tanh,32,32,0.0005,adam,1,7.429064587793417e-05,95
60,128,1,0.5,tanh,32,16,0.0001,rmsprop,1,7.651570388892045e-05,174
60,64,2,0.3,tanh,128,16,0.0001,rmsprop,1,8.336365410488927e-05,216
60,128,1,0.3,relu,128,16,0.001,adam,1,8.919417709370868e-05,62
30,64,2,0.3,tanh,64,16,0.0001,adam,1,9.462623404235475e-05,124
60,64,2,0.3,relu,128,64,0.0001,rmsprop,1,0.00010248022412674294,34
30,128,2,0.2,relu,128,32,0.001,adam,1,0.00010602281351263324,26
60,32,1,0.5,tanh,32,64,0.0001,rmsprop,1,0.00010619736535267697,113
30,32,1,0.2,relu,128,16,0.001,rmsprop,1,0.00010621786803110606,24
60,64,2,0.2,tanh,64,64,0.0001,adam,1,0.00017296578735113144,5
