ventana,hidden_size,num_layers,dropout,nonlinearity,dense_size,batch_size,lr,optimizador,horizonte,val_mse,best_epoch_search
60,32,1,0.5,relu,128,32,0.001,adam,7,0.00010582396988661921,83
30,128,1,0.3,relu,32,16,0.0005,rmsprop,7,0.00010856827934823779,18
90,32,2,0.3,tanh,32,32,0.0001,adam,7,0.00011171538186367272,72
60,32,2,0.5,relu,64,32,0.001,rmsprop,7,0.00011329356023446232,23
90,32,2,0.5,tanh,32,64,0.0001,rmsprop,7,0.00011508684085846759,152
90,128,2,0.5,tanh,32,32,0.001,adam,7,0.0001157430764034289,73
60,128,1,0.2,tanh,128,16,0.0001,adam,7,0.00011874244985531787,89
30,128,2,0.3,relu,32,64,0.0001,rmsprop,7,0.00012408674624906916,40
30,64,2,0.2,tanh,32,16,0.0001,rmsprop,7,0.00012840433513466903,52
30,64,1,0.3,tanh,64,16,0.0005,rmsprop,7,0.00013429616723640436,4
90,64,1,0.3,relu,32,64,0.0001,rmsprop,7,0.0001352339267071818,52
90,64,1,0.2,relu,128,64,0.0005,adam,7,0.00014695189069627093,30
