epoch,step,train_loss
0,49,5.819253921508789
1,99,4.964848518371582
2,149,4.652123928070068
3,199,4.593725681304932
4,249,4.450802803039551
5,299,4.450374126434326
6,349,4.438742160797119
7,399,4.4071431159973145
8,449,4.3636040687561035
9,499,4.351635932922363
10,549,4.340946197509766
11,599,4.3549580574035645
12,649,4.326969146728516
13,699,4.252179145812988
14,749,4.274306774139404
15,799,4.296591281890869
16,849,4.281103610992432
17,899,4.221463680267334
18,949,4.262147426605225
19,999,4.262017726898193
