epoch,step,train_loss
0,49,5.646144390106201
1,99,4.8240275382995605
2,149,4.663194179534912
3,199,4.596050262451172
4,249,4.473696231842041
5,299,4.432690620422363
6,349,4.325185775756836
7,399,4.3416547775268555
8,449,4.318075656890869
9,499,4.340327739715576
10,549,4.223787784576416
11,599,4.273492813110352
12,649,4.200718879699707
13,699,4.221123695373535
14,749,4.217701435089111
15,799,4.182316303253174
16,849,4.199284553527832
17,899,4.125611305236816
18,949,4.089182376861572
19,999,4.147215366363525
