epoch,step,train_loss
0,49,17.314987182617188
1,99,6.844140529632568
2,149,6.684797763824463
3,199,6.504164218902588
4,249,6.464176654815674
5,299,6.459019660949707
6,349,6.425045013427734
7,399,6.7389607429504395
8,449,6.4886956214904785
9,499,6.455960750579834
10,549,6.412246227264404
11,599,6.451224327087402
12,649,6.444689750671387
13,699,6.459418773651123
14,749,6.412067890167236
15,799,6.397182464599609
16,849,6.4479899406433105
17,899,6.481468677520752
18,949,6.426788330078125
19,999,6.431541919708252
20,1049,6.404074668884277
21,1099,6.406116962432861
22,1149,6.384918689727783
23,1199,6.463817596435547
24,1249,6.3990044593811035
25,1299,6.4037885665893555
26,1349,6.3866682052612305
27,1399,6.437997341156006
28,1449,6.377734184265137
29,1499,6.409964561462402
30,1549,6.441029071807861
31,1599,6.455132961273193
32,1649,6.397790431976318
33,1699,6.481705188751221
34,1749,6.416467189788818
35,1799,6.3904128074646
36,1849,6.417555332183838
37,1899,6.392796516418457
38,1949,6.4005279541015625
39,1999,6.440700531005859
40,2049,6.421246528625488
41,2099,6.425239086151123
42,2149,6.424320220947266
43,2199,6.419245719909668
44,2249,6.4012861251831055
45,2299,6.416799545288086
46,2349,6.425665378570557
47,2399,6.388859272003174
48,2449,6.343442440032959
49,2499,6.4461541175842285
