epoch,step,train_loss
0,49,131.41317749023438
1,99,105.4966049194336
2,149,76.55043029785156
3,199,76.9401626586914
4,249,70.86119842529297
5,299,68.61925506591797
6,349,70.68883514404297
7,399,68.05223083496094
8,449,67.4616928100586
9,499,66.79419708251953
10,549,67.57623291015625
11,599,66.57833099365234
12,649,63.62191390991211
13,699,61.983787536621094
14,749,66.89900970458984
15,799,65.60584259033203
16,849,65.36892700195312
17,899,66.33567810058594
18,949,65.93809509277344
19,999,63.99541473388672
20,1049,61.396907806396484
21,1099,59.17457580566406
22,1149,61.47968673706055
23,1199,58.10395431518555
24,1249,58.726470947265625
25,1299,59.608070373535156
26,1349,58.10541534423828
27,1399,59.949729919433594
28,1449,56.59049987792969
29,1499,55.6248779296875
30,1549,54.44928741455078
31,1599,55.22102355957031
32,1649,56.21689987182617
33,1699,56.905548095703125
34,1749,51.28607940673828
35,1799,54.5109977722168
36,1849,50.53379821777344
37,1899,51.455726623535156
38,1949,53.73964309692383
39,1999,48.072540283203125
40,2049,49.36361312866211
41,2099,47.136146545410156
42,2149,45.279239654541016
43,2199,45.757774353027344
44,2249,44.80376434326172
45,2299,43.865318298339844
46,2349,44.142127990722656
47,2399,43.3998908996582
48,2449,45.07770919799805
49,2499,40.923126220703125
