epoch,step,train_loss
0,49,5.933532238006592
1,99,5.418322563171387
2,149,5.065921783447266
3,199,4.889561653137207
4,249,4.79869270324707
5,299,4.68700647354126
6,349,4.645312786102295
7,399,4.6203765869140625
8,449,4.593855381011963
9,499,4.57908296585083
10,549,4.574691295623779
11,599,4.567491054534912
12,649,4.528167247772217
13,699,4.544672966003418
14,749,4.496784687042236
15,799,4.550881862640381
16,849,4.513493537902832
17,899,4.5375261306762695
18,949,4.5204176902771
19,999,4.509402275085449
