epoch,step,train_loss
0,49,5.71068000793457
1,99,4.8697638511657715
2,149,4.64210844039917
3,199,4.546923637390137
4,249,4.438716888427734
5,299,4.448437690734863
6,349,4.369734287261963
7,399,4.490058422088623
8,449,4.404681205749512
9,499,4.352544784545898
10,549,4.331214904785156
11,599,4.275555610656738
12,649,4.272986888885498
13,699,4.319443225860596
14,749,4.258959770202637
15,799,4.228967189788818
16,849,4.255519866943359
17,899,4.232491970062256
18,949,4.269049167633057
19,999,4.216146469116211
20,1049,4.218958854675293
21,1099,4.171725273132324
22,1149,4.1670331954956055
23,1199,4.125592231750488
24,1249,4.136983871459961
25,1299,4.164608955383301
26,1349,4.153088092803955
27,1399,4.136070728302002
28,1449,4.117709159851074
29,1499,4.063827991485596
30,1549,4.065288543701172
31,1599,4.061779022216797
32,1649,4.081685543060303
33,1699,4.0937323570251465
34,1749,4.029991626739502
35,1799,4.009893894195557
36,1849,4.059183597564697
37,1899,4.082799911499023
38,1949,3.964811086654663
39,1999,3.9436111450195312
40,2049,4.0913896560668945
41,2099,3.9891223907470703
42,2149,3.9506876468658447
43,2199,3.951658010482788
44,2249,3.9318552017211914
45,2299,3.932774066925049
46,2349,3.9659056663513184
47,2399,3.8681631088256836
48,2449,3.9280076026916504
49,2499,3.8970892429351807
