epoch,step,train_loss
0,49,6.178183078765869
1,99,5.607504367828369
2,149,5.243566513061523
3,199,5.100879669189453
4,249,5.0551438331604
5,299,4.941999435424805
6,349,4.916615962982178
7,399,4.899290561676025
8,449,4.837562561035156
9,499,4.840975761413574
10,549,4.830258369445801
11,599,4.8460187911987305
12,649,4.767827033996582
13,699,4.780438423156738
14,749,4.767135143280029
15,799,4.743329048156738
16,849,4.731716156005859
17,899,4.65847635269165
18,949,4.690474033355713
19,999,4.690880298614502
