epoch,step,train_loss
0,49,6.0587944984436035
1,99,5.438507556915283
2,149,5.061185359954834
3,199,4.9001264572143555
4,249,4.814065933227539
5,299,4.7843170166015625
6,349,4.725780487060547
7,399,4.659925937652588
8,449,4.633723258972168
9,499,4.6730499267578125
10,549,4.626405239105225
11,599,4.636934280395508
12,649,4.611688613891602
13,699,4.614454746246338
14,749,4.602797985076904
15,799,4.583532810211182
16,849,4.586328983306885
17,899,4.5228376388549805
18,949,4.539872169494629
19,999,4.502612113952637
20,1049,4.608182907104492
21,1099,4.542121410369873
22,1149,4.525651454925537
23,1199,4.473572254180908
24,1249,4.473764419555664
25,1299,4.506959915161133
26,1349,4.503410816192627
27,1399,4.515902042388916
28,1449,4.485045433044434
29,1499,4.452731132507324
30,1549,4.475414276123047
31,1599,4.409334182739258
32,1649,4.447418689727783
33,1699,4.378957748413086
34,1749,4.446964740753174
35,1799,4.437973976135254
36,1849,4.363529682159424
37,1899,4.367650985717773
38,1949,4.375868320465088
39,1999,4.416576385498047
40,2049,4.413180828094482
41,2099,4.394405364990234
42,2149,4.3587422370910645
43,2199,4.360742092132568
44,2249,4.335643768310547
45,2299,4.324184417724609
46,2349,4.317327499389648
47,2399,4.293419361114502
48,2449,4.320168495178223
49,2499,4.3127827644348145
