epoch,step,train_loss
0,49,6.096014499664307
1,99,5.254047870635986
2,149,5.181644916534424
3,199,4.935318470001221
4,249,4.629307270050049
5,299,4.458431243896484
6,349,4.281796932220459
7,399,4.193438529968262
8,449,4.114943027496338
9,499,4.060284614562988
10,549,4.009070873260498
11,599,3.9547171592712402
12,649,3.987569808959961
13,699,3.928431510925293
14,749,3.9388134479522705
15,799,3.893656015396118
16,849,3.8753626346588135
17,899,3.8508694171905518
18,949,3.859706401824951
19,999,3.833146333694458
20,1049,3.811367988586426
21,1099,3.8049068450927734
22,1149,3.7890286445617676
23,1199,3.773404836654663
24,1249,3.752819299697876
25,1299,3.7494258880615234
26,1349,3.748866319656372
27,1399,3.702786922454834
28,1449,3.680454730987549
29,1499,3.680546760559082
30,1549,3.664292812347412
31,1599,3.6498093605041504
32,1649,3.629159927368164
33,1699,3.623826265335083
34,1749,3.5985169410705566
35,1799,3.586909770965576
36,1849,3.5831918716430664
37,1899,3.558558464050293
38,1949,3.528409481048584
39,1999,3.5067691802978516
40,2049,3.5155224800109863
41,2099,3.487481117248535
42,2149,3.4858269691467285
43,2199,3.4628164768218994
44,2249,3.4380903244018555
45,2299,3.4236502647399902
46,2349,3.400252103805542
47,2399,3.3959827423095703
48,2449,3.3806607723236084
49,2499,3.359872341156006
