epoch,step,train_loss
0,49,5.678512096405029
1,99,4.9976806640625
2,149,4.8075690269470215
3,199,4.6569600105285645
4,249,4.604641437530518
5,299,4.513669967651367
6,349,4.504106044769287
7,399,4.44140100479126
8,449,4.366741180419922
9,499,4.345731735229492
10,549,4.208390712738037
11,599,4.142340183258057
12,649,4.111844062805176
13,699,4.018621444702148
14,749,3.9437756538391113
15,799,3.985013008117676
16,849,4.076698303222656
17,899,4.055389404296875
18,949,3.9552500247955322
19,999,3.865574836730957
