epoch,step,train_loss
0,49,6.331429958343506
1,99,5.8519487380981445
2,149,5.766416072845459
3,199,5.57631778717041
4,249,5.5490899085998535
5,299,5.528717517852783
6,349,5.485859394073486
7,399,5.418004989624023
8,449,5.404853343963623
9,499,5.382534027099609
10,549,5.375693321228027
11,599,5.3422651290893555
12,649,5.3675665855407715
13,699,5.359835147857666
14,749,5.307643890380859
15,799,5.296466827392578
16,849,5.326096057891846
17,899,5.298206806182861
18,949,5.291933059692383
19,999,5.2895827293396
20,1049,5.246467113494873
21,1099,5.266422748565674
22,1149,5.263636589050293
23,1199,5.2352681159973145
24,1249,5.23190450668335
25,1299,5.2723069190979
26,1349,5.21619987487793
27,1399,5.201292037963867
28,1449,5.184316635131836
29,1499,5.229491710662842
30,1549,5.185413360595703
31,1599,5.235342502593994
32,1649,5.1893510818481445
33,1699,5.165200233459473
34,1749,5.19161319732666
35,1799,5.166184902191162
36,1849,5.183366775512695
37,1899,5.182855129241943
38,1949,5.141381740570068
39,1999,5.169801235198975
40,2049,5.154513359069824
41,2099,5.172635555267334
42,2149,5.1489362716674805
43,2199,5.180706024169922
44,2249,5.102187156677246
45,2299,5.115929126739502
46,2349,5.183680534362793
47,2399,5.105362892150879
48,2449,5.130438804626465
49,2499,5.111356735229492
