epoch,step,train_loss
0,49,122.03836822509766
1,99,53.16511154174805
2,149,37.34514236450195
3,199,31.704818725585938
4,249,28.266700744628906
5,299,28.436899185180664
6,349,28.09558868408203
7,399,26.39371109008789
8,449,25.814062118530273
9,499,27.320985794067383
10,549,25.533832550048828
11,599,24.758302688598633
12,649,26.354448318481445
13,699,24.698469161987305
14,749,23.396953582763672
15,799,23.633323669433594
16,849,26.062969207763672
17,899,22.748062133789062
18,949,22.28021240234375
19,999,24.0269775390625
20,1049,25.363903045654297
21,1099,23.375146865844727
22,1149,25.120006561279297
23,1199,21.83218002319336
24,1249,25.564781188964844
25,1299,25.76651382446289
26,1349,24.49917984008789
27,1399,26.523759841918945
28,1449,23.999238967895508
29,1499,23.19829559326172
30,1549,22.171968460083008
31,1599,27.030488967895508
32,1649,25.021081924438477
33,1699,23.797815322875977
34,1749,22.230310440063477
35,1799,23.11504364013672
36,1849,22.692310333251953
37,1899,23.5174503326416
38,1949,22.356321334838867
39,1999,22.462787628173828
40,2049,23.1144962310791
41,2099,20.903196334838867
42,2149,23.362051010131836
43,2199,22.718250274658203
44,2249,21.729578018188477
45,2299,24.269033432006836
46,2349,21.605812072753906
47,2399,25.40157699584961
48,2449,23.373882293701172
49,2499,22.8626766204834
