epoch,step,train_loss
0,49,5.4879279136657715
1,99,4.815342903137207
2,149,4.657191276550293
3,199,4.669409275054932
4,249,4.427095890045166
5,299,4.401644706726074
6,349,4.39869499206543
7,399,4.365704536437988
8,449,4.284033298492432
9,499,4.21561336517334
10,549,4.1624674797058105
11,599,4.143698692321777
12,649,4.07895040512085
13,699,3.969710350036621
14,749,3.989708185195923
15,799,3.8694567680358887
16,849,3.806467294692993
17,899,3.8036394119262695
18,949,3.799184799194336
19,999,3.7234630584716797
