epoch,step,train_loss
0,49,7.549684524536133
1,99,6.200979232788086
2,149,5.793015956878662
3,199,5.677133083343506
4,249,5.570964336395264
5,299,5.546695709228516
6,349,5.423913478851318
7,399,5.391984939575195
8,449,5.347362518310547
9,499,5.293558120727539
10,549,5.318521022796631
11,599,5.235982894897461
12,649,5.263978481292725
13,699,5.263059616088867
14,749,5.230531215667725
15,799,5.1493072509765625
16,849,5.12664794921875
17,899,5.172356605529785
18,949,5.081956386566162
19,999,5.078590393066406
20,1049,5.06663179397583
21,1099,5.089078426361084
22,1149,5.087775230407715
23,1199,5.049929141998291
24,1249,5.071789264678955
25,1299,5.031764507293701
26,1349,5.0086588859558105
27,1399,4.991001129150391
28,1449,4.975538730621338
29,1499,4.980227947235107
30,1549,4.9697651863098145
31,1599,4.9507622718811035
32,1649,4.95106315612793
33,1699,4.966906547546387
34,1749,4.924829483032227
35,1799,4.968783378601074
36,1849,4.941379547119141
37,1899,4.948920726776123
38,1949,4.931380748748779
39,1999,4.877777576446533
40,2049,4.898022174835205
41,2099,4.915533542633057
42,2149,4.91512393951416
43,2199,4.866604804992676
44,2249,4.847146034240723
45,2299,4.8725738525390625
46,2349,4.804708003997803
47,2399,4.8593010902404785
48,2449,4.83657693862915
49,2499,4.838910102844238
