epoch,step,train_loss
0,49,6.0782928466796875
1,99,5.376013278961182
2,149,5.157250881195068
3,199,5.028363227844238
4,249,4.977025032043457
5,299,4.915376663208008
6,349,4.904673099517822
7,399,4.862097263336182
8,449,4.823431491851807
9,499,4.844996452331543
10,549,4.813816070556641
11,599,4.769988059997559
12,649,4.771827697753906
13,699,4.815099239349365
14,749,4.726029872894287
15,799,4.7373762130737305
16,849,4.73471212387085
17,899,4.699822425842285
18,949,4.651726245880127
19,999,4.67316198348999
