epoch,step,train_loss
0,49,6.273816108703613
1,99,5.8675537109375
2,149,5.785673141479492
3,199,5.652471542358398
4,249,5.5705132484436035
5,299,5.533684253692627
6,349,5.516322135925293
7,399,5.500920295715332
8,449,5.470990180969238
9,499,5.420283794403076
10,549,5.474598407745361
11,599,5.417624473571777
12,649,5.406379222869873
13,699,5.395350456237793
14,749,5.3763017654418945
15,799,5.37844705581665
16,849,5.315130710601807
17,899,5.360085964202881
18,949,5.328557014465332
19,999,5.337314605712891
20,1049,5.3142547607421875
21,1099,5.331554412841797
22,1149,5.284024238586426
23,1199,5.281675815582275
24,1249,5.265164375305176
25,1299,5.243929386138916
26,1349,5.225607872009277
27,1399,5.2425947189331055
28,1449,5.2168192863464355
29,1499,5.240065097808838
30,1549,5.257871150970459
31,1599,5.24550724029541
32,1649,5.243812084197998
33,1699,5.2594828605651855
34,1749,5.215620040893555
35,1799,5.24583625793457
36,1849,5.214392185211182
37,1899,5.208981990814209
38,1949,5.214972496032715
39,1999,5.205416679382324
40,2049,5.205815315246582
41,2099,5.1584978103637695
42,2149,5.203027725219727
43,2199,5.218512058258057
44,2249,5.221808433532715
45,2299,5.193652153015137
46,2349,5.190678119659424
47,2399,5.207478046417236
48,2449,5.154821395874023
49,2499,5.153472900390625
