epoch,step,train_loss
0,49,130.7593994140625
1,99,107.56375122070312
2,149,81.95262908935547
3,199,77.3288803100586
4,249,72.59046173095703
5,299,72.9612045288086
6,349,71.84391784667969
7,399,67.41167449951172
8,449,66.19232940673828
9,499,67.72388458251953
10,549,65.4875259399414
11,599,67.19059753417969
12,649,68.11060333251953
13,699,68.7297592163086
14,749,66.70408630371094
15,799,63.83818817138672
16,849,63.429805755615234
17,899,64.34600830078125
18,949,62.886634826660156
19,999,62.230403900146484
20,1049,61.68943405151367
21,1099,61.83964538574219
22,1149,59.23186492919922
23,1199,58.6994514465332
24,1249,62.665748596191406
25,1299,59.27540588378906
26,1349,57.69688415527344
27,1399,58.742576599121094
28,1449,57.6160888671875
29,1499,60.89638137817383
30,1549,58.76142501831055
31,1599,58.199951171875
32,1649,58.051055908203125
33,1699,54.5018424987793
34,1749,59.606075286865234
35,1799,54.85544967651367
36,1849,54.21562194824219
37,1899,52.07955551147461
38,1949,56.557308197021484
39,1999,49.84019470214844
40,2049,51.650630950927734
41,2099,51.64405822753906
42,2149,48.541908264160156
43,2199,47.443641662597656
44,2249,47.155242919921875
45,2299,47.12786102294922
46,2349,46.202980041503906
47,2399,48.617584228515625
48,2449,45.32646179199219
49,2499,43.47185134887695
